,City,Country,Date,Longitude,Latitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
1,East London,ZA,1547431559,27.91,-33.02,69.76,100,0,5.08
2,Kapaa,US,1547427360,-159.32,22.08,78.98,68,40,6.93
3,Chuy,UY,1547431530,-53.46,-33.69,71.38,98,92,10.89
4,Tasiilaq,GL,1547427000,-37.64,65.61,14,85,24,2.24
5,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
8,Castro,CL,1547427600,-73.76,-42.48,53.6,76,0,4.7
9,Mahebourg,MU,1547427600,57.7,-20.41,78.8,74,40,9.17
10,Balclutha,NZ,1547431562,169.74,-46.24,58.78,84,32,12.68
11,Albany,US,1547430720,-73.75,42.65,12.92,63,20,5.82
12,Mar del Plata,AR,1547431562,-67.52,-46.43,59.41,65,0,5.57
14,Castro,CL,1547427600,-73.76,-42.48,53.6,76,0,4.7
15,Chokurdakh,RU,1547431563,147.9,70.62,-26.72,42,20,2.89
16,Cape Town,ZA,1547427600,18.42,-33.93,59,82,0,3.36
17,Severo-Yeniseyskiy,RU,1547431433,93.04,60.37,4.06,61,92,8.81
18,Dingle,PH,1547431564,122.67,11,82.45,66,32,17.43
19,Avarua,CK,1547427600,-159.78,-21.21,86,70,40,9.17
20,Ahipara,NZ,1547431565,173.16,-35.17,67.42,85,76,18.32
21,Esperance,TT,1547427600,-61.45,10.24,75.2,73,20,4.85
22,Arraial do Cabo,BR,1547431565,-42.02,-22.97,76.42,87,0,14.14
23,Punta Arenas,CL,1547427600,-70.91,-53.16,50,61,40,17.22
24,Novorudnyy,RU,1547427600,58.19,51.5,28.4,92,90,6.71
25,Hamilton,BM,1547427300,-64.78,32.3,64.4,72,75,11.41
26,Dzaoudzi,YT,1547429400,45.27,-12.79,77,100,88,3.36
27,Esperance,TT,1547427600,-61.45,10.24,75.2,73,20,4.85
28,Lagoa,PT,1547429400,-8.45,37.14,44.6,75,0,6.93
29,Rockport,US,1547430960,-97.05,28.02,54.14,74,1,4.7
30,Sumenep,ID,1547431389,113.87,-7.02,83.98,99,44,11.12
31,Vadso,NO,1547428800,29.75,70.07,15.8,92,20,3.36
32,Castro,CL,1547427600,-73.76,-42.48,53.6,76,0,4.7
33,Batsfjord,NO,1547431569,29.72,70.63,34.66,100,80,9.04
34,Aykhal,RU,1547431569,111.51,65.95,-50.84,0,0,2.73
35,Pisco,PE,1547427600,-76.2,-13.71,71.6,88,0,18.34
36,Northam,GB,1547427000,-4.21,51.04,46.4,70,92,11.41
37,Atuona,PF,1547431570,-139.03,-9.8,81.28,100,100,14.7
38,Muros,ES,1547429400,-9.06,42.77,44.6,93,90,3.36
39,Galle,US,1547430780,-97.91,29.74,51.98,65,75,12.75
40,Ushuaia,AR,1547427600,-68.31,-54.81,46.4,75,75,27.51
41,Upernavik,GL,1547431455,-56.15,72.79,-11.06,100,24,4.52
43,Norman Wells,CA,1547427600,-126.83,65.28,-11.21,63,75,17.22
44,Souillac,FR,1547429400,-0.6,45.6,50,87,90,11.41
46,Ribeira Grande,PT,1547431573,-28.7,38.52,61.3,100,76,12.35
47,Hofn,IS,1547431465,-15.21,64.25,26.74,100,88,3.06
48,Barrow,AR,1547431414,-60.23,-38.31,64.09,97,92,10.16
49,Provideniya,RU,1547429400,-173.23,64.42,3.2,71,90,20.13
51,Khurai,IN,1547431574,78.33,24.04,52.75,88,0,6.13
52,Kapaa,US,1547427360,-159.32,22.08,78.98,68,40,6.93
53,Paamiut,GL,1547431575,-49.67,61.99,29.26,100,8,6.35
54,Marawi,PH,1547431575,124.29,8,81.46,59,24,3.4
55,Yulara,AU,1547427600,130.99,-25.24,104,11,0,16.11
57,Hermanus,ZA,1547431576,19.24,-34.42,54.55,96,76,2.73
58,Tiksi,RU,1547431473,128.87,71.64,-38.51,0,0,2.39
61,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
62,Ayagoz,KZ,1547431577,80.43,47.96,-11.06,34,0,4.23
63,Jijiang,CN,1547429400,120.61,29.8,44.6,81,75,4.47
64,Saint George,GR,1547430600,22.34,39.45,30.2,80,0,5.82
65,Altay,CN,1547431578,88.13,47.83,-9.71,28,0,3
66,Lebu,ET,1547427600,38.73,8.96,48.2,45,0,3.36
67,Ardakan,IR,1547427600,54.02,32.31,55.4,16,20,2.24
68,Busselton,AU,1547431432,115.35,-33.64,70.03,92,0,12.62
70,Sao Filipe,CV,1547431579,-24.5,14.9,72.1,98,76,11.61
71,Mataura,NZ,1547431419,168.86,-46.19,62.38,78,36,7.54
72,Sarangani,PH,1547431494,125.46,5.4,82.09,96,36,9.6
73,Rikitea,PF,1547431580,-134.97,-23.12,80.2,97,88,12.46
74,Bluff,AU,1547431581,149.07,-23.58,91.72,39,0,12.95
75,Bluff,AU,1547431581,149.07,-23.58,91.72,39,0,12.95
76,Lavrentiya,RU,1547431581,-170.99,65.58,0.46,100,92,34.72
77,Tiksi,RU,1547431473,128.87,71.64,-38.51,0,0,2.39
78,Navoloki,RU,1547431582,41.96,57.47,20.53,88,80,13.58
80,Jamestown,AU,1547431551,138.6,-33.21,92.89,51,0,8.1
81,Hofn,IS,1547431465,-15.21,64.25,26.74,100,88,3.06
82,Khatanga,RU,1547431583,102.47,71.98,-27.89,44,44,9.78
83,Hithadhoo,MV,1547431583,73.08,-0.6,81.37,100,56,6.76
84,Komsomolskiy,RU,1547431583,63.78,67.55,4.69,84,76,12.06
